"municipio","COUNT(municipio)","mes","ano","AVG(tempo_atracado)","AVG(tempo_estadia)"
Areia Branca,1,"8,0000000000582","2019",0.0,4.0
Areia Branca,2,"8,0833333333139","2019",0.0,4.5
Areia Branca,1,"8,0833333334886","2019",0.0,8.0
Areia Branca,2,"8,1666666665697","2019",0.0,4.5
Areia Branca,4,"8,25","2019",0.0,4.0
Areia Branca,1,"8,3333333332557","2019",0.0,3.0
Areia Branca,1,"8,4166666666861","2019",0.0,4.0
Areia Branca,1,"8,5000000001164","2019",0.0,4.0
Areia Branca,1,"8,5833333333721","2019",0.0,3.0
Areia Branca,1,"8,6666666666279","2019",0.0,4.0
Areia Branca,1,"8,7499999998836","2019",0.0,6.0
Areia Branca,1,"8,7500000000582","2019",0.0,8.0
Areia Branca,1,"8,8333333333139","2019",0.0,6.0
Areia Branca,1,"80,16666666657","2019",0.0,6.0
Areia Branca,3,"9","2019",0.0,2.3333333333333335
Areia Branca,1,"9,0833333334303","2019",0.0,3.0
Areia Branca,1,"9,1666666666861","2019",0.0,9.0
Areia Branca,1,"9,3333333333721","2019",0.0,8.0
Areia Branca,1,"9,4166666666279","2019",0.0,3.0
Areia Branca,1,"9,5833333333139","2019",0.0,9.0
Areia Branca,1,"9,6666666665697","2019",0.0,4.0
Areia Branca,1,"9,9166666666861","2019",0.0,1.0
Areia Branca,1,"9,9999999999418","2019",0.0,5.0
Barcarena,1,"0","2019",0.0,0.0
Barcarena,1,"1,2500000000582","2019",0.0,1.0
Barcarena,1,"1,7499999999418","2019",0.0,1.0
Barcarena,1,"10,033333333384","2019",1.0,9.0
Barcarena,1,"10,166666666628","2019",0.0,10.0
Barcarena,1,"10,166666666802","2019",0.0,8.0
Barcarena,1,"10,249999999884","2019",1.0,10.0
Barcarena,2,"10,666666666686","2019",2.5,8.0
Barcarena,1,"10,683333333407","2019",0.0,10.0
Barcarena,1,"10,916666666802","2019",1.0,10.0
Barcarena,1,"100,66666666669","2019",6.0,48.0
Barcarena,1,"101,29999999999","2019",0.0,3.0
Barcarena,1,"102,99999999994","2019",3.0,102.0
Barcarena,1,"104,43333333341","2019",0.0,3.0
Barcarena,1,"11,499999999942","2019",0.0,11.0
Barcarena,1,"11,666666666628","2019",1.0,11.0
Barcarena,1,"11,833333333314","2019",0.0,6.0
Barcarena,1,"11,866666666756","2019",0.0,4.0
Barcarena,1,"11,883333333477","2019",1.0,7.0
Barcarena,1,"11,900000000023","2019",0.0,2.0
Barcarena,1,"111,99999999994","2019",1.0,4.0
Barcarena,1,"112,66666666651","2019",10.0,97.0
Barcarena,1,"112,70000000013","2019",1.0,6.0
Barcarena,1,"114,25000000012","2019",5.0,110.0
Barcarena,1,"117,93333333323","2019",0.0,17.0
Barcarena,1,"119,25","2019",0.0,119.0
Barcarena,1,"119,83333333331","2019",0.0,16.0
Barcarena,1,"12,083333333256","2019",0.0,7.0
Barcarena,1,"12,166666666686","2019",0.0,6.0
Barcarena,1,"12,833333333256","2019",0.0,12.0
Barcarena,1,"120,3333333332","2019",0.0,2.0
Barcarena,1,"120,83333333326","2019",6.0,120.0
Barcarena,1,"121,33333333349","2019",4.0,7.0
Barcarena,1,"122,71666666662","2019",0.0,2.0
Barcarena,1,"123","2019",9.0,58.0
Barcarena,1,"123,99999999994","2019",5.0,35.0
Barcarena,1,"124,00000000012","2019",0.0,3.0
Barcarena,1,"128,33333333326","2019",0.0,2.0
Barcarena,1,"128,49999999994","2019",15.0,73.0
Barcarena,2,"13,000000000116","2019",1.0,9.0
Barcarena,1,"13,166666666628","2019",5.0,13.0
Barcarena,1,"13,333333333314","2019",0.0,8.0
Barcarena,1,"13,58333333343","2019",2.0,13.0
Barcarena,1,"13,666666666686","2019",1.0,8.0
Barcarena,1,"13,983333333337","2019",0.0,3.0
Barcarena,1,"132,33333333337","2019",0.0,2.0
Barcarena,1,"133,25000000006","2019",6.0,133.0
Barcarena,1,"135,83333333326","2019",1.0,4.0
Barcarena,1,"139,41666666674","2019",1.0,139.0
Barcarena,1,"139,86666666664","2019",1.0,4.0
Barcarena,1,"14,749999999884","2019",0.0,14.0
Barcarena,1,"14,833333333314","2019",3.0,14.0
Barcarena,1,"140,18333333329","2019",1.0,11.0
Barcarena,1,"144,83333333326","2019",1.0,118.0
Barcarena,1,"145,81666666665","2019",0.0,2.0
Barcarena,1,"147","2019",2.0,146.0
Barcarena,1,"147,66666666674","2019",0.0,146.0
Barcarena,1,"147,99999999994","2019",3.0,25.0
Barcarena,1,"149,11666666658","2019",3.0,46.0
Barcarena,1,"15,016666666546","2019",2.0,15.0
Barcarena,1,"15,133333333244","2019",0.0,3.0
Barcarena,1,"15,200000000128","2019",0.0,2.0
Barcarena,1,"15,283333333384","2019",0.0,9.0
Barcarena,2,"15,416666666628","2019",1.5,11.0
Barcarena,1,"15,799999999988","2019",1.0,15.0
Barcarena,1,"15,833333333256","2019",0.0,12.0
Barcarena,2,"15,916666666686","2019",0.5,6.5
Barcarena,1,"150,71666666673","2019",0.0,2.0
Barcarena,1,"151,5","2019",0.0,150.0
Barcarena,1,"151,8333333332","2019",3.0,6.0
Barcarena,1,"153,13333333342","2019",0.0,2.0
